,Area,PLC prog unit,Device Name,Device,PLC Tag,PLC dep gauge1,PLC dep gauge2,PLC dep pump1,PLC dep valve1,Volume,sim dep vol1,sim dep vol2
146,FEE,,MR1K1-BEND-VGC-1,VV7S,VGC,PA1K0-GCC-1,MR2K3-TXI-GCC-1,,,MR1K1-BEND-VGC-1,FUTURE_SPECTROMOETER,M1K1-VOL
147,FEE(Mirror-M1K1),,MR1K1-BEND-GCC-1,,MKS422,MR1K1-BEND-GPI-1,,,,M1K1-VOL,,
148,FEE(Mirror-M1K1),,MR1K1-BEND-GPI-1,,MKS317,,,,,M1K1-VOL,,
149,FEE(Mirror-M1K1),,MR1K1-BEND-PGT-1,,,,,,,M1K1-VOL,,
150,FEE(Mirror-M1K1),,MR1K1-BEND-PGT-2,,,,,,,M1K1-VOL,,
151,FEE(Mirror-M1K1),,MR1K1-BEND-PIP-1,,PIP_Gamma,MR1K1-BEND-GCC-1,,,,M1K1-VOL,,
152,FEE,,MR1K3-TXI-VGC-1,VV8S,VGC,MR1K1-BEND-GCC-1,MR2K3-TXI-GCC-1,,,MR1K3-TXI-VGC-1,M1K1-VOL,M_K1K3-VOL
153,FEE(Mirror-M2K3),,MR2K3-TXI-GCC-1,,MKS500_EP,MR2K3-TXI-GPI-1,,,,M_K1K3-VOL,,
154,FEE(Mirror-M2K3),,MR2K3-TXI-GPI-1,,MKS275,,,,,M_K1K3-VOL,,
155,FEE(Mirror-M2K3),,MR2K3-TXI-PGT-1,,,,,,,M_K1K3-VOL,,
156,FEE(Mirror-M2K3),,MR2K3-TXI-PGT-2,,,,,,,M_K1K3-VOL,,
157,FEE(Mirror-M2K3),,MR2K3-TXI-PIP-1,,PIP_Gamma,MR2K3-TXI-GCC-1,,,,M_K1K3-VOL,,
158,FEE(Mirror-M1K3),,MR1K3-TXI-GCC-1,,MKS500_EP,MR1K3-TXI-GPI-1,,,,M_K1K3-VOL,,
159,FEE(Mirror-M1K3),,MR1K3-TXI-GPI-1,,MKS275,,,,,M_K1K3-VOL,,
160,FEE(Mirror-M1K3),,MR1K3-TXI-PGT-1,,,,,,,M_K1K3-VOL,,
161,FEE(Mirror-M1K3),,MR1K3-TXI-PGT-2,,,,,,,M_K1K3-VOL,,
162,FEE(Mirror-M1K3),,MR1K3-TXI-PIP-1,,PIP_Gamma,MR1K3-TXI-GCC-1,,,,M_K1K3-VOL,,
163,FEE,,SP1K1-MONO-VGC-1,VV1K1,VGC,MR1K3-TXI-GCC-1,SP1K1-MONO-GCC-1,,,SP1K1-MONO-VGC-1,M_K1K3-VOL,SPI1K1-VOL
164,FEE(Mono SP1K1),,SP1K1-MONO-GCC-1,,MKS500_EP,SP1K1-MONO-GPI-1,,,,SPI1K1-VOL,,
165,FEE(Mono SP1K1),,SP1K1-MONO-GPI-1,,MKS275,,,,,SPI1K1-VOL,,
166,FEE(Mono SP1K1),,SP1K1-MONO-PIP-1,,PIP_Gamma,SP1K1-MONO-GCC-1,,,,SPI1K1-VOL,,
